global_step,avg_episode_returns,avg_episode_length,SPS
10496000,-6.92,72.60,8790.94
10547200,-7.30,76.64,8792.09
10598400,-6.92,72.65,8793.23
10649600,-7.06,74.48,8794.37
10700800,-7.35,77.19,8795.52
10752000,-7.18,74.95,8796.62
10803200,-7.19,75.19,8797.76
10854400,-7.46,77.98,8798.86
10905600,-7.19,75.87,8799.99
10956800,-7.03,73.97,8805.54
11008000,-7.11,74.51,8802.05
11059200,-6.99,73.49,8807.63
11110400,-7.06,73.80,8804.15
11161600,-7.07,73.97,8805.15
11212800,-7.06,74.02,8806.23
11264000,-7.27,76.69,8807.27
11315200,-7.25,75.80,8808.24
11366400,-6.96,73.35,8809.28
11417600,-7.00,73.58,8810.29
11468800,-6.66,70.38,8811.28
11520000,-7.24,75.58,8812.23
11571200,-7.00,73.45,8813.24
11622400,-7.00,73.05,8818.50
11673600,-6.81,71.56,8815.13
11724800,-7.51,77.71,8816.01
11776000,-7.23,75.55,8816.68
11827200,-7.30,76.20,8817.58
11878400,-7.31,77.29,8818.48
11929600,-7.12,74.40,8819.38
11980800,-6.97,73.31,8820.25
12032000,-7.09,74.57,8821.14
12083200,-7.27,76.16,8821.78
12134400,-7.18,75.45,8822.63
12185600,-6.85,72.21,8823.45
12236800,-7.15,75.45,8824.29
12288000,-7.15,74.65,8825.17
12339200,-7.11,74.74,8825.99
12390400,-7.01,73.75,8826.59
12441600,-7.13,74.66,8827.42
12492800,-7.11,74.52,8828.25
12544000,-7.20,75.43,8829.08
12595200,-7.10,74.23,8829.90
12646400,-7.09,74.85,8830.74
12697600,-7.06,74.17,8831.30
12748800,-7.06,74.21,8832.13
12800000,-7.18,75.46,8832.92
12851200,-7.36,76.90,8833.69
12902400,-7.04,74.20,8834.49
12953600,-7.23,75.26,8835.27
13004800,-7.23,75.90,8835.82
13056000,-7.09,74.19,8836.57
13107200,-6.95,73.05,8837.33
13158400,-7.24,76.08,8838.06
13209600,-7.03,73.90,8838.80
13260800,-7.03,73.85,8839.57
13312000,-7.20,75.50,8840.07
13363200,-7.04,73.34,8840.78
13414400,-7.04,73.78,8841.51
13465600,-7.12,75.62,8842.19
13516800,-7.46,77.49,8842.90
13568000,-6.95,72.93,8847.30
13619200,-7.27,75.43,8844.26
13670400,-7.16,74.61,8844.92
13721600,-7.20,75.33,8845.63
13772800,-7.02,73.03,8846.25
13824000,-7.20,75.56,8846.93
13875200,-7.34,77.05,8847.59
13926400,-7.15,75.26,8851.83
13977600,-7.01,73.56,8848.87
14028800,-7.21,74.79,8853.11
14080000,-7.09,74.70,8850.16
14131200,-7.33,76.59,8850.78
14182400,-7.24,75.62,8851.40
14233600,-7.16,75.22,8852.04
14284800,-7.12,75.45,8852.70
14336000,-7.16,75.02,8853.34
14387200,-7.43,78.87,8853.97
14438400,-6.96,73.38,8854.59
14489600,-7.19,75.54,8855.22
14540800,-6.99,73.68,8855.83
14592000,-7.04,74.77,8856.48
14643200,-6.84,73.06,8857.12
14694400,-7.11,76.19,8857.74
14745600,-6.91,73.14,8858.36
14796800,-7.15,76.15,8858.93
14848000,-7.07,76.35,8859.55
14899200,-6.70,71.22,8860.14
14950400,-7.10,75.22,8860.74
15001600,-7.09,75.56,8861.29
15052800,-6.94,75.29,8861.86
15104000,-6.95,73.95,8862.26
15155200,-7.18,76.69,8862.82
15206400,-6.99,74.44,8863.39
15257600,-6.91,73.75,8863.94
15308800,-6.92,74.14,8864.49
15360000,-6.91,74.10,8865.04
15411200,-7.07,75.84,8865.42
15462400,-6.82,73.11,8865.96
15513600,-6.92,74.79,8866.48
15564800,-7.07,75.51,8870.19
15616000,-7.14,76.96,8867.43
15667200,-6.97,74.38,8867.91
15718400,-6.99,74.86,8868.21
15769600,-6.94,74.86,8868.78
15820800,-7.02,74.81,8869.33
15872000,-7.08,75.84,8869.90
15923200,-7.40,79.48,8870.45
15974400,-7.16,76.09,8870.97
16025600,-7.10,76.55,8871.28
16076800,-6.97,74.52,8871.82
16128000,-6.78,73.12,8872.29
16179200,-6.88,74.32,8872.85
16230400,-6.87,74.23,8873.33
16281600,-6.68,72.91,8873.78
16332800,-7.03,75.66,8874.08
16384000,-6.82,72.72,8874.53
16435200,-6.84,73.97,8875.03
16486400,-7.13,76.21,8875.51
16537600,-6.92,74.41,8876.03
16588800,-7.08,75.50,8876.54
16640000,-6.92,74.25,8876.91
16691200,-6.83,74.36,8877.42
16742400,-7.20,77.57,8877.92
16793600,-6.92,74.78,8878.45
16844800,-6.85,73.82,8878.96
16896000,-7.01,76.04,8879.43
16947200,-6.83,74.21,8879.92
16998400,-6.87,74.61,8880.42
17049600,-6.92,75.08,8880.94
17100800,-6.85,73.92,8881.43
17152000,-7.05,76.52,8881.90
17203200,-6.92,74.90,8882.40
17254400,-6.76,73.33,8882.88
17305600,-6.87,74.85,8883.35
17356800,-6.85,74.44,8886.71
17408000,-6.83,74.55,8884.22
17459200,-7.06,77.10,8884.66
17510400,-7.12,76.94,8885.09
17561600,-6.87,75.08,8885.52
17612800,-6.89,74.92,8885.92
17664000,-7.01,75.78,8886.37
17715200,-7.06,75.65,8886.80
17766400,-6.78,73.67,8887.23
17817600,-7.17,77.45,8887.65
17868800,-6.72,73.46,8888.06
17920000,-6.86,74.28,8888.50
17971200,-6.97,76.04,8888.93
18022400,-6.79,73.45,8889.39
18073600,-6.79,74.55,8889.79
18124800,-7.12,77.11,8890.21
18176000,-6.93,75.43,8890.57
18227200,-6.80,73.93,8890.93
18278400,-6.71,73.73,8891.38
18329600,-7.04,76.23,8891.76
18380800,-6.95,75.74,8892.18
18432000,-6.98,75.55,8892.50
18483200,-6.88,75.19,8892.92
18534400,-6.70,74.24,8893.33
18585600,-6.87,76.00,8893.75
18636800,-7.02,76.52,8894.15
18688000,-6.81,74.35,8894.57
18739200,-7.09,77.65,8894.83
18790400,-6.64,73.32,8895.23
18841600,-6.91,75.80,8895.65
18892800,-6.92,76.45,8896.03
18944000,-6.90,76.60,8899.11
18995200,-7.05,76.74,8896.83
19046400,-6.91,75.71,8897.09
19097600,-6.80,74.75,8897.48
19148800,-6.91,76.34,8897.86
19200000,-6.25,70.96,8898.24
19251200,-6.69,74.27,8898.64
19302400,-6.88,75.70,8899.02
19353600,-6.66,73.69,8899.22
19404800,-6.84,76.56,8899.60
19456000,-6.61,74.59,8899.92
19507200,-6.73,74.54,8900.30
19558400,-7.26,79.10,8903.23
19609600,-6.85,75.32,8900.96
19660800,-6.64,74.68,8901.17
19712000,-6.90,76.86,8901.51
19763200,-6.86,74.91,8901.84
19814400,-6.55,73.11,8902.15
19865600,-6.72,74.18,8902.49
19916800,-6.86,76.16,8902.88
19968000,-6.85,75.65,8903.09
20019200,-6.80,76.28,8881.89
20070400,-6.90,76.14,8882.28
20121600,-6.63,74.26,8882.65
20172800,-6.70,75.90,8883.03
20224000,-6.73,75.99,8883.21
20275200,-6.92,77.15,8883.57
20326400,-6.64,75.00,8883.93
20377600,-6.55,73.38,8884.31
20428800,-6.54,73.04,8884.64
20480000,-6.69,74.84,8884.99
20531200,-6.68,74.83,8885.26
20582400,-6.74,75.31,8885.61
20633600,-6.87,76.18,8885.97
20684800,-6.76,74.29,8886.33
20736000,-6.90,77.48,8886.68
20787200,-6.51,73.23,8887.02
20838400,-6.65,75.39,8887.22
20889600,-6.75,75.54,8887.53
20940800,-6.67,74.76,8887.91
20992000,-6.66,74.39,8888.25
21043200,-6.67,74.61,8888.61
21094400,-6.86,76.85,8888.96
21145600,-6.78,76.60,8889.16
21196800,-6.77,76.10,8889.50
21248000,-6.50,74.70,8889.84
21299200,-6.71,75.39,8890.15
21350400,-6.65,75.55,8892.92
21401600,-6.27,71.87,8890.90
21452800,-6.46,74.86,8891.09
21504000,-6.48,73.33,8891.43
21555200,-6.56,75.66,8891.77
21606400,-6.37,73.21,8894.47
21657600,-6.73,76.18,8892.44
21708800,-6.67,74.84,8892.80
21760000,-6.46,74.05,8893.00
21811200,-6.67,75.09,8893.36
21862400,-6.69,75.79,8893.67
21913600,-6.64,75.52,8894.00
21964800,-6.11,71.54,8894.32
22016000,-6.70,76.21,8894.64
22067200,-6.68,76.32,8894.98
22118400,-6.59,75.74,8895.29
22169600,-6.41,73.97,8895.62
22220800,-6.59,76.51,8895.94
22272000,-6.39,73.35,8896.24
22323200,-6.43,72.97,8896.55
22374400,-6.64,75.44,8896.86
22425600,-6.42,73.42,8897.18
22476800,-6.58,75.33,8897.46
22528000,-6.38,73.78,8897.78
22579200,-6.30,72.97,8898.06
22630400,-6.25,72.26,8898.38
22681600,-6.37,74.37,8898.70
22732800,-6.53,75.04,8901.24
22784000,-6.62,76.29,8899.32
22835200,-6.82,77.82,8899.63
22886400,-6.59,75.79,8899.91
22937600,-6.80,78.06,8900.24
22988800,-6.56,74.78,8900.52
23040000,-6.52,75.98,8900.76
23091200,-6.36,74.66,8901.02
23142400,-6.70,77.17,8901.31
23193600,-6.42,74.66,8901.60
23244800,-6.59,76.18,8901.89
23296000,-6.29,73.65,8902.18
23347200,-6.28,73.79,8902.47
23398400,-6.33,74.18,8902.76
23449600,-6.30,74.20,8903.05
23500800,-6.20,72.59,8903.34
23552000,-6.60,76.65,8903.63
23603200,-6.44,75.84,8903.89
23654400,-6.42,74.66,8904.18
23705600,-6.34,74.31,8904.45
23756800,-6.46,76.03,8904.73
23808000,-6.57,76.21,8905.01
23859200,-6.47,75.13,8905.16
23910400,-6.30,74.31,8905.44
23961600,-6.40,75.24,8905.70
24012800,-6.07,72.88,8905.98
24064000,-6.33,76.16,8906.27
24115200,-6.58,76.97,8906.54
24166400,-6.23,73.27,8906.70
24217600,-6.49,75.18,8906.97
24268800,-6.29,74.50,8907.23
24320000,-6.36,75.40,8907.50
24371200,-6.23,74.70,8907.75
24422400,-6.18,72.64,8910.11
24473600,-6.25,73.80,8908.16
24524800,-6.13,73.14,8908.42
24576000,-6.24,73.75,8908.68
24627200,-6.37,76.47,8908.93
24678400,-6.47,76.70,8909.18
24729600,-5.97,72.63,8909.44
24780800,-6.29,74.86,8909.57
24832000,-6.41,75.22,8909.82
24883200,-6.14,74.42,8910.09
24934400,-6.31,76.13,8910.34
24985600,-6.33,75.31,8910.60
25036800,-6.24,75.37,8910.87
25088000,-6.05,72.78,8911.02
25139200,-6.41,76.30,8911.28
25190400,-6.22,74.27,8911.53
25241600,-6.27,75.68,8911.77
25292800,-6.15,74.01,8912.02
25344000,-6.30,76.83,8912.26
25395200,-6.01,72.93,8912.51
25446400,-6.41,76.13,8912.75
25497600,-6.09,73.67,8913.01
25548800,-6.32,76.15,8913.25
25600000,-6.34,76.39,8913.48
25651200,-6.05,74.82,8913.74
25702400,-6.24,75.49,8914.00
25753600,-6.07,74.18,8914.20
25804800,-6.12,73.66,8914.44
25856000,-5.90,74.59,8914.68
25907200,-6.21,76.32,8914.91
25958400,-6.21,76.63,8915.14
26009600,-6.07,74.81,8915.37
26060800,-6.27,76.54,8915.59
26112000,-6.18,75.25,8915.82
26163200,-6.02,72.87,8916.05
26214400,-6.14,75.67,8916.28
26265600,-6.25,75.77,8916.52
26316800,-5.86,73.25,8918.68
26368000,-6.23,75.94,8916.96
26419200,-6.31,77.00,8917.19
26470400,-5.75,75.43,8917.43
26521600,-6.07,74.17,8917.64
26572800,-5.89,74.08,8919.76
26624000,-6.15,74.91,8918.06
26675200,-5.78,73.03,8920.21
26726400,-6.14,75.55,8918.52
26777600,-5.81,73.62,8918.74
26828800,-5.77,74.44,8918.95
26880000,-6.05,75.23,8919.18
26931200,-5.91,74.11,8919.39
26982400,-6.29,76.18,8919.59
27033600,-6.03,75.33,8919.81
27084800,-6.35,78.29,8920.01
27136000,-5.84,73.25,8920.23
27187200,-5.77,73.08,8920.34
27238400,-5.89,74.11,8920.54
27289600,-5.73,73.84,8920.75
27340800,-5.74,72.83,8920.96
27392000,-5.80,73.33,8923.03
27443200,-5.77,73.62,8921.37
27494400,-5.88,74.13,8923.32
27545600,-5.72,72.79,8921.67
27596800,-5.76,72.65,8921.89
27648000,-5.76,74.53,8922.11
27699200,-5.55,72.29,8922.35
27750400,-6.22,76.07,8922.55
27801600,-5.80,73.06,8922.65
27852800,-5.67,73.47,8924.70
27904000,-5.62,73.49,8923.06
27955200,-5.81,74.26,8923.20
28006400,-5.78,74.06,8923.38
28057600,-5.96,75.06,8923.55
28108800,-5.78,73.86,8923.66
28160000,-5.95,75.60,8923.87
28211200,-5.76,75.52,8924.05
28262400,-5.68,72.83,8924.24
28313600,-5.56,72.02,8924.43
28364800,-5.78,74.28,8924.65
28416000,-5.87,75.57,8924.74
28467200,-5.96,75.11,8924.93
28518400,-5.56,73.99,8925.13
28569600,-6.13,77.38,8925.31
28620800,-5.92,74.74,8925.53
28672000,-5.63,73.32,8925.72
28723200,-6.04,76.08,8925.93
28774400,-6.06,76.31,8926.12
28825600,-5.93,75.93,8926.29
28876800,-5.72,74.28,8926.48
28928000,-5.88,74.69,8926.69
28979200,-5.83,75.59,8926.87
29030400,-5.54,72.69,8927.03
29081600,-5.60,74.59,8927.25
29132800,-5.37,71.45,8927.43
29184000,-5.49,72.74,8927.62
29235200,-5.60,74.01,8927.81
29286400,-5.52,73.72,8928.01
29337600,-5.51,72.55,8928.20
29388800,-5.76,75.14,8928.39
29440000,-5.73,74.92,8928.57
29491200,-5.76,74.87,8928.77
29542400,-5.70,75.64,8928.96
29593600,-5.41,72.72,8930.86
29644800,-5.60,71.35,8929.29
29696000,-5.53,73.82,8929.47
29747200,-5.58,75.61,8929.66
29798400,-5.60,72.83,8929.86
29849600,-5.44,73.76,8930.05
29900800,-5.49,73.28,8930.21
29952000,-5.58,75.19,8930.37
30003200,-5.60,74.74,8930.56
30054400,-5.20,71.53,8930.75
30105600,-5.79,75.43,8930.92
30156800,-5.52,76.15,8931.08
30208000,-5.59,74.84,8931.24
30259200,-5.55,73.83,8933.07
30310400,-5.43,73.51,8931.54
30361600,-5.78,74.54,8931.70
30412800,-5.33,72.25,8931.88
30464000,-5.72,76.27,8932.04
30515200,-5.70,77.35,8932.13
30566400,-5.07,72.03,8932.29
30617600,-5.35,73.22,8932.46
30668800,-5.26,71.56,8932.63
30720000,-5.73,74.31,8932.79
30771200,-5.58,74.24,8932.96
30822400,-5.37,73.06,8933.03
30873600,-5.56,75.16,8934.85
30924800,-5.74,75.61,8933.36
30976000,-5.37,73.33,8933.51
31027200,-5.54,74.61,8933.69
31078400,-5.36,73.57,8933.85
31129600,-5.03,70.81,8935.56
31180800,-5.35,73.55,8934.08
31232000,-5.53,73.53,8934.20
31283200,-5.48,74.83,8934.37
31334400,-5.51,73.81,8934.54
31385600,-5.52,75.72,8934.70
31436800,-5.40,73.36,8934.81
31488000,-5.22,72.55,8934.98
31539200,-5.24,73.46,8936.77
31590400,-5.28,72.90,8935.30
31641600,-5.17,71.23,8937.08
31692800,-5.62,74.63,8935.62
31744000,-5.52,75.02,8935.68
31795200,-5.18,71.94,8935.85
31846400,-5.46,73.48,8936.03
31897600,-5.09,72.60,8936.19
31948800,-5.72,76.11,8936.34
32000000,-5.33,73.42,8938.12
32051200,-5.53,75.26,8936.66
32102400,-5.14,72.11,8936.84
32153600,-5.20,72.44,8936.97
32204800,-5.01,71.38,8937.13
32256000,-5.14,73.26,8937.29
32307200,-5.31,74.17,8937.41
32358400,-5.30,72.47,8937.54
32409600,-5.30,73.06,8937.68
32460800,-5.31,71.81,8937.84
32512000,-5.36,75.92,8937.97
32563200,-5.46,76.16,8938.08
32614400,-5.14,71.77,8938.22
32665600,-5.21,73.40,8938.37
32716800,-5.17,75.04,8938.52
32768000,-5.29,73.55,8938.67
32819200,-5.37,75.75,8938.81
32870400,-5.31,73.48,8938.94
32921600,-5.59,77.10,8939.11
32972800,-5.24,72.47,8939.25
33024000,-5.36,74.86,8939.41
33075200,-5.15,74.80,8939.55
33126400,-5.43,74.00,8939.70
33177600,-5.28,75.01,8939.84
33228800,-5.25,73.96,8941.56
33280000,-5.35,72.22,8940.17
33331200,-5.52,76.94,8940.33
33382400,-5.38,74.88,8940.48
33433600,-5.23,73.65,8940.65
33484800,-5.55,76.06,8940.82
33536000,-5.25,71.57,8940.99
33587200,-5.41,74.84,8941.15
33638400,-5.41,75.13,8941.32
33689600,-4.99,71.87,8941.47
33740800,-5.08,73.39,8941.64
33792000,-5.41,75.01,8941.82
33843200,-5.57,74.99,8941.91
33894400,-5.04,72.49,8942.05
33945600,-5.42,74.72,8942.19
33996800,-5.38,74.83,8942.34
34048000,-4.93,72.67,8942.48
34099200,-5.15,73.72,8942.62
34150400,-5.01,72.17,8942.68
34201600,-5.42,75.57,8942.82
34252800,-5.19,75.01,8942.97
34304000,-5.26,73.46,8943.11
34355200,-5.49,75.93,8943.24
34406400,-4.99,73.83,8943.38
34457600,-5.36,73.58,8943.44
34508800,-5.36,73.38,8943.57
34560000,-5.15,73.18,8943.70
34611200,-5.07,73.07,8943.83
34662400,-5.48,75.05,8943.99
34713600,-4.99,71.70,8944.11
34764800,-5.05,73.07,8944.17
34816000,-5.33,74.12,8944.30
34867200,-5.26,74.59,8944.43
34918400,-5.06,71.49,8944.56
34969600,-4.81,71.85,8944.70
35020800,-5.12,73.11,8944.83
35072000,-5.18,74.69,8944.88
35123200,-5.16,73.38,8945.02
35174400,-5.11,72.04,8945.17
35225600,-5.10,73.99,8945.30
35276800,-5.34,75.08,8945.44
35328000,-5.24,75.81,8945.57
35379200,-5.04,73.49,8945.69
35430400,-4.95,71.93,8945.83
35481600,-5.14,73.45,8945.97
35532800,-4.80,72.96,8947.53
35584000,-5.29,74.18,8946.21
35635200,-4.73,70.44,8946.34
35686400,-5.23,74.53,8946.46
35737600,-5.10,74.48,8946.58
35788800,-5.05,74.55,8946.71
35840000,-4.93,73.39,8946.83
35891200,-5.06,73.93,8946.95
35942400,-5.21,72.94,8948.50
35993600,-4.31,70.51,8948.63
36044800,-5.25,73.51,8947.31
36096000,-4.87,72.51,8947.43
36147200,-5.31,75.74,8947.55
36198400,-5.06,72.52,8947.67
36249600,-4.80,72.35,8947.78
36300800,-5.27,74.97,8947.91
36352000,-4.75,71.13,8948.02
36403200,-4.69,70.01,8948.15
36454400,-5.09,73.61,8948.26
36505600,-4.73,71.21,8948.38
36556800,-4.93,73.79,8948.51
36608000,-4.85,72.64,8948.63
36659200,-4.92,71.68,8948.71
36710400,-4.74,73.95,8948.84
36761600,-4.70,72.65,8948.98
36812800,-5.07,73.64,8949.05
36864000,-5.16,72.83,8949.13
36915200,-5.06,72.99,8949.25
36966400,-4.74,73.46,8949.37
37017600,-4.78,71.60,8949.49
37068800,-4.78,72.37,8949.60
37120000,-4.86,72.29,8949.69
37171200,-4.73,72.15,8949.72
37222400,-4.90,73.45,8949.83
37273600,-5.05,74.05,8949.95
37324800,-5.12,73.95,8950.05
37376000,-5.51,76.95,8950.18
37427200,-5.11,74.62,8950.29
37478400,-4.76,70.99,8950.32
37529600,-4.55,72.43,8950.45
37580800,-5.07,74.05,8950.56
37632000,-5.17,74.13,8950.67
37683200,-5.04,73.22,8950.79
37734400,-4.82,71.19,8950.89
37785600,-4.72,71.83,8950.91
37836800,-4.62,72.20,8951.02
37888000,-5.04,73.91,8951.10
37939200,-5.10,75.08,8951.19
37990400,-4.76,71.79,8951.28
38041600,-4.93,72.20,8951.37
38092800,-4.69,72.77,8951.41
38144000,-4.44,72.46,8951.54
38195200,-4.92,73.92,8951.66
38246400,-4.87,73.86,8951.79
38297600,-4.82,73.58,8951.92
38348800,-5.17,73.23,8952.01
38400000,-5.13,74.74,8952.06
38451200,-4.88,73.23,8952.16
38502400,-5.10,74.70,8952.27
38553600,-4.62,72.25,8953.71
38604800,-4.80,72.33,8952.48
38656000,-4.56,72.45,8952.59
38707200,-4.73,72.28,8952.70
38758400,-4.92,73.36,8952.82
38809600,-4.80,73.80,8952.92
38860800,-4.71,73.18,8953.02
38912000,-4.83,72.74,8953.13
38963200,-5.03,74.82,8953.24
39014400,-4.97,72.36,8953.34
39065600,-4.81,72.10,8953.47
39116800,-4.53,70.42,8953.57
39168000,-4.93,73.34,8955.00
39219200,-4.61,71.09,8953.80
39270400,-5.05,73.45,8953.90
39321600,-4.80,71.69,8955.32
39372800,-4.36,70.76,8954.12
39424000,-4.58,72.21,8954.22
39475200,-4.85,73.07,8954.33
39526400,-4.36,71.71,8954.42
39577600,-4.34,70.79,8955.80
39628800,-4.85,73.26,8954.59
39680000,-4.79,73.30,8954.70
39731200,-5.17,73.61,8954.81
