global_step,avg_episode_returns,avg_episode_length,SPS
51200,-6.71,70.71,2257.59
102400,-7.30,75.83,3590.79
153600,-7.07,74.11,4491.42
204800,-7.13,74.82,5134.80
256000,-7.44,78.02,5617.78
307200,-7.06,74.16,5994.30
358400,-7.03,73.66,6295.96
409600,-7.20,75.63,6540.78
460800,-7.03,73.88,6748.11
512000,-7.22,75.41,6921.90
563200,-6.86,72.46,7071.48
614400,-7.05,74.07,7201.75
665600,-7.31,76.39,7315.12
716800,-7.05,73.54,7415.59
768000,-7.20,75.23,7504.99
819200,-7.25,75.30,7585.17
870400,-7.00,73.88,7658.41
921600,-7.10,74.52,7725.19
972800,-7.14,74.83,7785.34
1024000,-7.28,76.33,7839.67
1075200,-7.21,75.52,7889.77
1126400,-7.02,74.45,7935.52
1177600,-7.37,76.82,7978.11
1228800,-6.93,72.64,8017.31
1280000,-6.99,73.99,8053.48
1331200,-7.26,75.75,8087.41
1382400,-6.99,73.13,8119.12
1433600,-7.30,76.29,8148.46
1484800,-7.27,76.17,8176.42
1536000,-7.17,75.25,8201.05
1587200,-7.20,75.25,8226.06
1638400,-7.14,74.81,8249.17
1689600,-7.23,76.21,8271.21
1740800,-7.00,73.71,8291.88
1792000,-7.08,74.39,8311.42
1843200,-7.29,76.56,8328.30
1894400,-7.23,76.30,8346.30
1945600,-7.35,76.71,8363.05
1996800,-7.06,74.22,8378.76
2048000,-7.20,75.53,8098.55
2099200,-7.19,74.77,8119.01
2150400,-7.28,76.23,8138.79
2201600,-7.45,77.89,8157.64
2252800,-7.10,74.45,8176.10
2304000,-7.13,74.57,8193.55
2355200,-7.40,77.61,8210.20
2406400,-7.03,73.60,8226.44
2457600,-7.00,73.69,8259.42
2508800,-7.06,74.39,8256.17
2560000,-7.04,73.78,8270.43
2611200,-7.10,74.77,8284.08
2662400,-7.07,73.93,8297.45
2713600,-7.25,75.91,8310.29
2764800,-7.09,74.16,8322.76
2816000,-7.08,74.20,8334.75
2867200,-7.11,75.17,8346.35
2918400,-7.27,75.92,8357.75
2969600,-7.14,74.41,8368.64
3020800,-7.15,74.78,8379.12
3072000,-7.19,75.68,8389.31
3123200,-7.36,77.08,8399.15
3174400,-7.23,75.67,8408.71
3225600,-7.37,77.07,8418.05
3276800,-7.35,77.71,8427.05
3328000,-7.05,74.18,8435.07
3379200,-7.21,75.67,8443.52
3430400,-7.37,77.87,8451.83
3481600,-7.21,75.63,8460.06
3532800,-7.11,74.37,8467.92
3584000,-7.10,74.52,8475.62
3635200,-7.10,74.57,8482.17
3686400,-7.16,74.89,8489.20
3737600,-7.27,75.94,8496.20
3788800,-7.15,75.23,8502.97
3840000,-7.12,74.78,8509.67
3891200,-7.08,74.19,8516.05
3942400,-7.32,76.79,8521.61
3993600,-7.18,75.35,8527.76
4044800,-6.90,72.47,8533.59
4096000,-7.23,76.10,8539.66
4147200,-7.16,75.43,8545.43
4198400,-6.99,73.99,8551.08
4249600,-6.97,72.88,8555.87
4300800,-7.07,73.81,8561.33
4352000,-7.15,74.76,8566.59
4403200,-7.22,75.21,8571.64
4454400,-7.04,73.39,8576.70
4505600,-7.27,75.64,8581.62
4556800,-6.98,73.19,8585.76
4608000,-7.19,75.63,8590.42
4659200,-6.96,72.95,8595.03
4710400,-7.00,73.62,8599.46
4761600,-7.11,74.54,8603.87
4812800,-7.19,75.53,8618.14
4864000,-6.91,72.17,8612.51
4915200,-6.98,73.12,8616.63
4966400,-7.29,76.16,8620.63
5017600,-7.21,76.11,8545.04
5068800,-7.20,74.99,8549.70
5120000,-7.09,74.67,8562.70
5171200,-6.99,73.11,8558.08
5222400,-7.15,74.54,8562.46
5273600,-7.24,75.89,8566.81
5324800,-7.12,75.17,8571.06
5376000,-7.25,76.53,8575.29
5427200,-6.92,72.82,8578.86
5478400,-7.16,74.72,8582.97
5529600,-7.33,75.98,8586.95
5580800,-6.74,70.98,8590.86
5632000,-7.08,74.00,8594.66
5683200,-6.95,73.73,8598.50
5734400,-7.00,73.61,8601.74
5785600,-7.16,75.27,8605.37
5836800,-7.20,75.29,8608.96
5888000,-7.56,79.24,8612.45
5939200,-6.96,72.67,8615.89
5990400,-7.39,77.34,8619.22
6041600,-7.04,74.18,8622.10
6092800,-7.40,76.80,8625.38
6144000,-7.12,74.91,8628.59
6195200,-7.18,75.56,8631.87
6246400,-7.33,76.82,8635.09
6297600,-7.28,76.31,8638.26
6348800,-6.99,72.85,8640.90
6400000,-7.32,76.17,8643.92
6451200,-7.25,76.45,8647.03
6502400,-7.23,75.62,8649.88
6553600,-7.19,75.69,8652.74
6604800,-7.21,74.97,8655.52
6656000,-7.04,73.95,8658.32
6707200,-7.29,76.30,8661.06
6758400,-7.28,75.99,8663.82
6809600,-7.00,73.74,8666.49
6860800,-7.19,75.50,8669.10
6912000,-6.96,73.59,8671.68
6963200,-7.35,77.01,8674.24
7014400,-7.09,74.63,8676.70
7065600,-7.36,76.83,8679.11
7116800,-7.14,74.88,8681.53
7168000,-7.04,73.87,8683.86
7219200,-7.36,77.00,8686.21
7270400,-7.05,73.86,8688.54
7321600,-7.15,75.51,8690.86
7372800,-7.12,74.76,8693.15
7424000,-7.23,75.46,8695.36
7475200,-7.17,74.77,8697.64
7526400,-6.95,72.98,8699.88
7577600,-7.24,76.05,8702.02
7628800,-7.08,74.36,8704.14
7680000,-7.18,74.70,8706.25
7731200,-6.84,71.96,8708.41
7782400,-7.30,76.53,8710.53
7833600,-7.02,74.75,8712.62
7884800,-7.27,75.88,8714.73
7936000,-7.03,74.69,8716.77
7987200,-7.21,75.77,8718.73
8038400,-7.24,76.02,8726.77
8089600,-7.27,76.01,8722.59
8140800,-7.50,78.63,8724.52
8192000,-7.27,76.86,8726.37
8243200,-7.19,75.26,8728.17
8294400,-7.22,75.76,8729.92
8345600,-7.27,76.55,8731.76
8396800,-7.40,77.28,8733.52
8448000,-6.78,71.66,8734.94
8499200,-7.21,75.93,8736.69
8550400,-7.14,74.80,8738.37
8601600,-7.42,77.57,8740.14
8652800,-7.23,75.88,8741.78
8704000,-7.16,74.74,8743.44
8755200,-7.19,75.72,8744.82
8806400,-7.20,75.41,8746.48
8857600,-7.22,75.06,8748.11
8908800,-7.01,73.04,8749.71
8960000,-7.08,74.26,8751.27
9011200,-7.04,74.17,8752.86
9062400,-7.22,75.33,8754.07
9113600,-7.48,77.77,8761.02
9164800,-7.15,74.98,8757.13
9216000,-7.03,73.82,8758.61
9267200,-7.11,74.53,8760.11
9318400,-7.01,73.48,8761.62
9369600,-7.25,75.81,8762.78
9420800,-6.96,72.83,8764.15
9472000,-7.10,75.63,8765.60
9523200,-6.94,72.68,8767.03
9574400,-7.08,74.28,8768.41
9625600,-7.30,76.53,8769.80
9676800,-7.35,76.97,8770.90
9728000,-6.87,71.75,8772.29
9779200,-7.17,75.16,8773.65
9830400,-7.13,74.78,8774.99
9881600,-7.03,73.64,8781.28
9932800,-7.16,75.68,8777.48
9984000,-7.16,74.42,8778.75
10035200,-7.29,76.53,8780.02
10086400,-7.13,75.04,8781.32
10137600,-7.18,75.46,8782.58
10188800,-7.32,76.49,8783.81
10240000,-7.23,75.75,8785.03
10291200,-7.12,74.72,8786.23
10342400,-7.24,75.85,8787.44
10393600,-6.99,73.67,8788.59
10444800,-7.15,75.25,8789.77
