arm,checkpoint,eval_set,steps_to_think,success,zero_boxes,noops_per_eps
attn_shallow_200m,cp_199997440,valid_medium,8,0.242,0.046,0.0
attn_shallow_200m,cp_199997440,valid_medium,9,0.246,0.05,0.0
attn_shallow_200m,cp_199997440,valid_medium,10,0.246,0.059,0.0
attn_shallow_200m,cp_199997440,valid_medium,11,0.246,0.052,0.0
attn_shallow_200m,cp_199997440,valid_medium,12,0.247,0.055,0.0
attn_softmax_200m,cp_199997440,train_unfiltered,0,0.944,0.002,0.0
attn_softmax_200m,cp_199997440,train_unfiltered,1,0.954,0.001,0.0
attn_softmax_200m,cp_199997440,train_unfiltered,2,0.955,0.001,0.0
attn_softmax_200m,cp_199997440,train_unfiltered,3,0.953,0.002,0.0
attn_softmax_200m,cp_199997440,train_unfiltered,4,0.955,0.002,0.0
attn_softmax_200m,cp_199997440,train_unfiltered,5,0.95,0.002,0.0
attn_softmax_200m,cp_199997440,train_unfiltered,6,0.95,0.002,0.0
attn_softmax_200m,cp_199997440,train_unfiltered,7,0.952,0.002,0.0
attn_softmax_200m,cp_199997440,train_unfiltered,8,0.955,0.002,0.0
attn_softmax_200m,cp_199997440,train_unfiltered,9,0.952,0.002,0.0
attn_softmax_200m,cp_199997440,train_unfiltered,10,0.953,0.002,0.0
attn_softmax_200m,cp_199997440,train_unfiltered,11,0.952,0.002,0.0
attn_softmax_200m,cp_199997440,train_unfiltered,12,0.953,0.002,0.0
attn_softmax_200m,cp_199997440,valid_medium,0,0.458,0.026,0.0
attn_softmax_200m,cp_199997440,valid_medium,1,0.477,0.029,0.0
attn_softmax_200m,cp_199997440,valid_medium,2,0.499,0.02,0.0
attn_softmax_200m,cp_199997440,valid_medium,3,0.5,0.023,0.0
attn_softmax_200m,cp_199997440,valid_medium,4,0.501,0.022,0.0
attn_softmax_200m,cp_199997440,valid_medium,5,0.497,0.023,0.0
attn_softmax_200m,cp_199997440,valid_medium,6,0.496,0.022,0.0
attn_softmax_200m,cp_199997440,valid_medium,7,0.499,0.021,0.0
attn_softmax_200m,cp_199997440,valid_medium,8,0.498,0.022,0.0
attn_softmax_200m,cp_199997440,valid_medium,9,0.505,0.023,0.0
attn_softmax_200m,cp_199997440,valid_medium,10,0.504,0.022,0.0
attn_softmax_200m,cp_199997440,valid_medium,11,0.502,0.021,0.0
attn_softmax_200m,cp_199997440,valid_medium,12,0.507,0.022,0.0
attn_vn_200m,cp_199997440,train_unfiltered,0,0.923,0.006,0.0
attn_vn_200m,cp_199997440,train_unfiltered,1,0.923,0.004,0.0
attn_vn_200m,cp_199997440,train_unfiltered,2,0.924,0.003,0.0
attn_vn_200m,cp_199997440,train_unfiltered,3,0.925,0.003,0.0
attn_vn_200m,cp_199997440,train_unfiltered,4,0.923,0.003,0.0
attn_vn_200m,cp_199997440,train_unfiltered,5,0.921,0.005,0.0
attn_vn_200m,cp_199997440,train_unfiltered,6,0.922,0.004,0.0
attn_vn_200m,cp_199997440,train_unfiltered,7,0.924,0.003,0.0
attn_vn_200m,cp_199997440,train_unfiltered,8,0.924,0.005,0.0
attn_vn_200m,cp_199997440,train_unfiltered,9,0.924,0.004,0.0
attn_vn_200m,cp_199997440,train_unfiltered,10,0.924,0.004,0.0
attn_vn_200m,cp_199997440,train_unfiltered,11,0.924,0.006,0.0
attn_vn_200m,cp_199997440,train_unfiltered,12,0.924,0.005,0.0
attn_vn_200m,cp_199997440,valid_medium,0,0.319,0.043,0.0
attn_vn_200m,cp_199997440,valid_medium,1,0.346,0.045,0.0
attn_vn_200m,cp_199997440,valid_medium,2,0.358,0.043,0.0
attn_vn_200m,cp_199997440,valid_medium,3,0.371,0.044,0.0
attn_vn_200m,cp_199997440,valid_medium,4,0.365,0.041,0.0
attn_vn_200m,cp_199997440,valid_medium,5,0.367,0.042,0.0
attn_vn_200m,cp_199997440,valid_medium,6,0.366,0.045,0.0
attn_vn_200m,cp_199997440,valid_medium,7,0.369,0.044,0.0
attn_vn_200m,cp_199997440,valid_medium,8,0.361,0.045,0.0
attn_vn_200m,cp_199997440,valid_medium,9,0.363,0.045,0.0
attn_vn_200m,cp_199997440,valid_medium,10,0.366,0.041,0.0
attn_vn_200m,cp_199997440,valid_medium,11,0.366,0.042,0.0
attn_vn_200m,cp_199997440,valid_medium,12,0.368,0.042,0.0
dense_max_200m,cp_199997440,train_unfiltered,0,0.726,0.005,0.0
dense_max_200m,cp_199997440,train_unfiltered,1,0.729,0.005,0.0
dense_max_200m,cp_199997440,train_unfiltered,2,0.73,0.005,0.0
dense_max_200m,cp_199997440,train_unfiltered,3,0.731,0.005,0.0
dense_max_200m,cp_199997440,train_unfiltered,4,0.732,0.005,0.0
dense_max_200m,cp_199997440,train_unfiltered,5,0.731,0.005,0.0
dense_max_200m,cp_199997440,train_unfiltered,6,0.73,0.004,0.0
dense_max_200m,cp_199997440,train_unfiltered,7,0.732,0.004,0.0
dense_max_200m,cp_199997440,train_unfiltered,8,0.73,0.004,0.0
dense_max_200m,cp_199997440,train_unfiltered,9,0.729,0.004,0.0
dense_max_200m,cp_199997440,train_unfiltered,10,0.729,0.004,0.0
dense_max_200m,cp_199997440,train_unfiltered,11,0.728,0.004,0.0
dense_max_200m,cp_199997440,train_unfiltered,12,0.728,0.004,0.0
dense_max_200m,cp_199997440,valid_medium,0,0.105,0.017,0.0
dense_max_200m,cp_199997440,valid_medium,1,0.107,0.015,0.0
dense_max_200m,cp_199997440,valid_medium,2,0.109,0.015,0.0
dense_max_200m,cp_199997440,valid_medium,3,0.108,0.015,0.0
dense_max_200m,cp_199997440,valid_medium,4,0.111,0.015,0.0
dense_max_200m,cp_199997440,valid_medium,5,0.111,0.015,0.0
dense_max_200m,cp_199997440,valid_medium,6,0.115,0.015,0.0
dense_max_200m,cp_199997440,valid_medium,7,0.114,0.015,0.0
dense_max_200m,cp_199997440,valid_medium,8,0.113,0.015,0.0
dense_max_200m,cp_199997440,valid_medium,9,0.112,0.015,0.0
dense_max_200m,cp_199997440,valid_medium,10,0.113,0.014,0.0
dense_max_200m,cp_199997440,valid_medium,11,0.113,0.013,0.0
dense_max_200m,cp_199997440,valid_medium,12,0.114,0.013,0.0
dense_mean_200m,cp_199997440,train_unfiltered,0,0.774,0.007,0.0
dense_mean_200m,cp_199997440,train_unfiltered,1,0.796,0.01,0.0
dense_mean_200m,cp_199997440,train_unfiltered,2,0.799,0.002,0.0
dense_mean_200m,cp_199997440,train_unfiltered,3,0.797,0.006,0.0
dense_mean_200m,cp_199997440,train_unfiltered,4,0.788,0.007,0.0
dense_mean_200m,cp_199997440,train_unfiltered,5,0.786,0.007,0.0
dense_mean_200m,cp_199997440,train_unfiltered,6,0.795,0.006,0.0
dense_mean_200m,cp_199997440,train_unfiltered,7,0.791,0.007,0.0
dense_mean_200m,cp_199997440,train_unfiltered,8,0.796,0.007,0.0
dense_mean_200m,cp_199997440,train_unfiltered,9,0.794,0.008,0.0
dense_mean_200m,cp_199997440,train_unfiltered,10,0.797,0.008,0.0
dense_mean_200m,cp_199997440,train_unfiltered,11,0.797,0.009,0.0
dense_mean_200m,cp_199997440,train_unfiltered,12,0.788,0.01,0.0
dense_mean_200m,cp_199997440,valid_medium,0,0.142,0.025,0.0
dense_mean_200m,cp_199997440,valid_medium,1,0.149,0.023,0.0
dense_mean_200m,cp_199997440,valid_medium,2,0.156,0.026,0.0
dense_mean_200m,cp_199997440,valid_medium,3,0.151,0.027,0.0
dense_mean_200m,cp_199997440,valid_medium,4,0.157,0.028,0.0
dense_mean_200m,cp_199997440,valid_medium,5,0.157,0.029,0.0
dense_mean_200m,cp_199997440,valid_medium,6,0.166,0.026,0.0
dense_mean_200m,cp_199997440,valid_medium,7,0.156,0.027,0.0
dense_mean_200m,cp_199997440,valid_medium,8,0.16,0.027,0.0
dense_mean_200m,cp_199997440,valid_medium,9,0.168,0.028,0.0
