global_step,avg_episode_returns,avg_episode_length,SPS
9113600,-7.42,77.51,5587.88
9164800,-7.12,74.68,5588.87
9216000,-7.04,73.85,5589.87
9267200,-7.09,74.49,5590.84
9318400,-7.01,73.64,5591.71
9369600,-7.28,76.04,5592.55
9420800,-6.95,72.48,5593.49
9472000,-7.17,75.24,5595.56
9523200,-6.92,72.69,5595.38
9574400,-7.11,74.27,5596.30
9625600,-7.28,76.48,5597.21
9676800,-7.40,77.01,5597.99
9728000,-6.85,71.70,5598.87
9779200,-7.16,75.25,5599.76
9830400,-7.14,74.87,5600.59
9881600,-7.00,73.40,5601.41
9932800,-7.18,75.51,5602.21
9984000,-7.15,74.52,5603.04
10035200,-7.33,76.48,5603.87
10086400,-7.16,75.35,5604.70
10137600,-7.11,75.18,5605.51
10188800,-7.33,76.36,5606.30
10240000,-7.14,75.01,5608.15
10291200,-7.09,74.56,5607.92
10342400,-7.18,75.20,5609.72
10393600,-6.95,73.57,5609.47
10444800,-7.15,75.19,5610.26
10496000,-6.93,72.68,5611.03
10547200,-7.36,76.80,5611.79
10598400,-6.92,72.60,5612.54
10649600,-7.06,74.30,5613.24
10700800,-7.39,77.05,5614.96
10752000,-7.16,75.12,5615.69
10803200,-7.11,74.60,5616.40
10854400,-7.55,79.05,5617.11
10905600,-7.34,76.51,5617.81
10956800,-7.00,74.51,5617.55
11008000,-7.15,74.82,5618.27
11059200,-6.92,73.30,5618.99
11110400,-6.93,73.35,5620.65
11161600,-7.03,73.96,5620.38
11212800,-7.05,74.32,5621.07
11264000,-7.30,76.39,5621.76
11315200,-7.26,75.86,5622.43
11366400,-6.98,73.45,5623.09
11417600,-7.02,73.64,5623.75
11468800,-6.64,70.21,5624.40
11520000,-7.13,74.65,5625.95
11571200,-7.06,73.57,5625.66
11622400,-6.96,74.02,5626.28
11673600,-6.80,71.44,5626.91
11724800,-7.51,77.83,5627.54
11776000,-7.07,74.78,5628.96
11827200,-7.30,76.22,5628.65
11878400,-7.32,77.44,5629.25
11929600,-7.09,74.36,5629.85
11980800,-6.95,73.28,5630.46
12032000,-7.10,74.54,5631.04
12083200,-7.26,76.22,5631.52
12134400,-7.17,75.46,5632.10
12185600,-6.89,72.20,5632.69
12236800,-7.17,75.85,5633.26
12288000,-7.10,74.16,5633.82
12339200,-7.31,76.18,5635.26
12390400,-6.97,73.40,5634.85
12441600,-7.13,74.67,5635.39
12492800,-7.12,74.49,5635.94
12544000,-7.19,75.32,5636.48
12595200,-7.05,74.31,5636.99
12646400,-7.17,74.97,5637.51
12697600,-7.01,73.97,5637.92
12748800,-6.97,74.18,5638.44
12800000,-7.13,75.04,5639.79
12851200,-7.40,77.27,5639.47
12902400,-7.07,74.08,5639.97
12953600,-7.23,75.43,5640.48
13004800,-7.24,75.92,5640.91
13056000,-7.08,74.17,5641.38
13107200,-6.98,73.18,5641.89
13158400,-7.22,75.88,5642.38
13209600,-7.04,74.07,5642.87
13260800,-7.07,73.72,5643.36
13312000,-7.23,75.60,5643.74
13363200,-7.00,73.35,5644.20
13414400,-6.98,73.63,5644.69
13465600,-7.22,75.58,5645.16
13516800,-7.43,77.63,5645.63
13568000,-7.09,73.62,5646.10
13619200,-7.31,76.38,5647.34
13670400,-7.11,74.38,5647.01
13721600,-7.25,75.53,5647.47
13772800,-6.99,72.88,5647.93
13824000,-7.15,75.62,5648.38
13875200,-7.28,76.70,5648.84
13926400,-7.25,75.90,5649.28
13977600,-7.00,73.43,5650.49
14028800,-7.25,75.32,5650.93
14080000,-7.07,74.69,5650.61
14131200,-7.35,76.61,5651.03
14182400,-7.25,75.39,5651.44
14233600,-7.20,75.38,5651.87
14284800,-7.17,75.49,5652.28
14336000,-7.19,75.21,5652.68
14387200,-7.44,78.49,5653.10
14438400,-6.93,73.28,5653.48
14489600,-7.15,75.70,5653.90
14540800,-6.98,73.56,5654.30
14592000,-7.12,75.19,5654.68
14643200,-6.92,73.16,5655.08
14694400,-7.08,75.65,5655.45
14745600,-6.97,73.54,5655.83
14796800,-7.14,76.16,5656.18
14848000,-7.21,76.32,5657.30
14899200,-6.76,71.67,5656.96
14950400,-7.05,75.24,5656.78
15001600,-7.18,75.85,5658.43
15052800,-7.05,75.44,5658.09
15104000,-6.99,73.96,5658.42
15155200,-7.23,76.95,5658.76
15206400,-7.00,74.67,5659.83
15257600,-6.85,73.49,5659.50
15308800,-6.98,74.33,5659.86
15360000,-6.94,74.46,5660.22
15411200,-6.98,74.74,5660.52
15462400,-6.92,73.50,5660.88
15513600,-7.01,75.20,5661.25
15564800,-7.10,75.37,5661.59
15616000,-7.14,77.35,5661.94
15667200,-6.97,74.38,5662.30
15718400,-6.96,75.10,5662.60
15769600,-6.97,74.85,5662.96
15820800,-7.01,74.87,5663.32
15872000,-7.00,75.57,5663.66
15923200,-7.37,79.39,5664.00
15974400,-7.12,76.27,5664.35
16025600,-7.10,75.76,5665.31
16076800,-6.85,74.89,5664.97
16128000,-6.78,73.22,5665.32
16179200,-6.80,74.15,5665.65
16230400,-6.85,74.52,5665.98
16281600,-6.67,72.63,5666.30
16332800,-6.95,75.27,5666.56
16384000,-6.78,72.76,5666.86
16435200,-6.85,74.21,5667.16
16486400,-7.06,76.45,5667.49
16537600,-6.87,74.48,5667.79
16588800,-6.87,74.60,5668.10
16640000,-6.85,74.23,5668.34
16691200,-6.86,75.19,5668.64
16742400,-7.10,77.09,5668.93
16793600,-6.91,74.63,5669.25
16844800,-6.85,74.48,5669.54
16896000,-6.85,75.43,5669.84
16947200,-6.77,73.66,5670.13
16998400,-6.77,74.92,5670.44
17049600,-6.87,74.84,5670.73
17100800,-6.74,73.97,5671.03
17152000,-7.02,76.86,5671.31
17203200,-6.90,75.04,5671.61
17254400,-6.66,73.42,5671.90
17305600,-6.74,74.11,5672.20
17356800,-6.82,75.12,5672.49
17408000,-6.77,74.76,5672.79
17459200,-6.94,76.46,5673.09
17510400,-6.91,76.59,5673.37
17561600,-6.92,75.36,5673.65
17612800,-6.74,75.05,5673.91
17664000,-6.97,75.78,5674.20
17715200,-6.79,75.54,5674.48
17766400,-6.71,74.03,5674.75
17817600,-6.88,76.83,5675.01
17868800,-6.67,73.38,5675.28
17920000,-6.69,74.12,5675.55
17971200,-6.85,76.17,5675.82
18022400,-6.67,73.25,5676.10
18073600,-6.69,74.51,5676.35
18124800,-7.02,77.46,5676.62
18176000,-6.72,75.11,5676.87
18227200,-6.57,73.49,5677.14
18278400,-6.66,74.38,5677.40
18329600,-6.75,76.01,5677.66
18380800,-6.78,76.34,5677.92
18432000,-6.67,74.76,5678.15
18483200,-6.72,75.14,5678.38
18534400,-6.65,74.66,5678.65
18585600,-6.66,75.24,5678.91
18636800,-6.74,76.03,5679.18
18688000,-6.68,75.32,5680.01
18739200,-6.93,77.30,5679.63
18790400,-6.54,73.99,5680.45
18841600,-6.77,76.12,5680.13
18892800,-6.56,75.26,5680.38
18944000,-6.71,76.35,5680.63
18995200,-6.86,77.14,5680.87
19046400,-6.65,74.96,5681.04
19097600,-6.58,74.47,5681.29
19148800,-6.81,76.37,5682.09
19200000,-6.17,70.65,5681.76
19251200,-6.44,73.72,5682.56
19302400,-6.78,76.72,5682.23
19353600,-6.39,73.74,5682.39
19404800,-6.76,76.57,5682.63
19456000,-6.30,73.69,5682.84
19507200,-6.49,74.98,5683.07
19558400,-6.74,77.68,5683.31
19609600,-6.63,75.18,5683.53
19660800,-6.42,74.12,5683.69
19712000,-6.68,77.53,5683.94
19763200,-6.49,74.17,5684.17
19814400,-6.31,72.75,5684.41
19865600,-6.41,74.26,5684.63
19916800,-6.67,76.01,5684.83
19968000,-6.40,74.42,5684.98
20019200,-6.71,77.11,5660.70
20070400,-6.60,75.08,5661.00
20121600,-6.62,75.55,5661.83
20172800,-6.24,74.16,5661.58
20224000,-6.53,75.84,5661.81
20275200,-6.61,77.26,5661.67
20326400,-6.34,74.26,5662.36
20377600,-6.15,73.06,5662.64
20428800,-6.29,73.18,5662.91
20480000,-6.32,74.00,5663.18
20531200,-6.36,75.02,5663.40
20582400,-6.34,75.16,5663.68
20633600,-6.31,75.12,5663.93
20684800,-6.44,75.53,5664.19
20736000,-6.41,75.71,5664.45
20787200,-6.30,74.17,5664.71
20838400,-6.71,77.22,5665.42
20889600,-6.17,72.97,5665.17
20940800,-6.45,75.38,5665.43
20992000,-6.20,73.76,5666.21
21043200,-6.00,72.28,5665.96
21094400,-6.70,78.41,5666.23
21145600,-6.31,76.18,5666.44
21196800,-6.60,76.68,5666.70
21248000,-6.19,73.90,5666.95
21299200,-6.32,74.81,5667.22
21350400,-6.07,73.90,5667.46
21401600,-6.24,74.24,5667.72
21452800,-6.02,74.70,5667.93
21504000,-5.94,72.19,5668.17
21555200,-6.17,75.63,5668.41
21606400,-6.22,74.70,5668.67
21657600,-6.34,75.34,5668.92
21708800,-5.98,72.71,5669.67
21760000,-5.89,73.69,5669.36
21811200,-6.46,76.99,5669.60
21862400,-6.11,75.85,5670.34
21913600,-5.72,71.94,5670.10
21964800,-6.19,74.79,5670.35
22016000,-6.24,75.28,5670.58
22067200,-6.28,76.47,5670.82
22118400,-6.12,74.31,5671.06
22169600,-5.96,74.32,5671.29
22220800,-6.04,74.14,5671.52
22272000,-6.08,74.22,5671.74
22323200,-5.97,72.67,5671.96
22374400,-6.09,74.89,5672.19
22425600,-6.09,74.41,5672.42
22476800,-5.78,73.41,5672.64
22528000,-5.69,73.31,5672.85
22579200,-5.76,72.86,5673.08
22630400,-5.58,71.07,5673.30
22681600,-5.91,74.70,5673.53
22732800,-5.95,74.67,5673.75
22784000,-6.29,77.07,5674.44
22835200,-6.15,76.79,5674.18
22886400,-5.90,75.69,5674.38
22937600,-6.54,78.90,5674.62
22988800,-5.95,74.85,5674.84
23040000,-5.98,74.78,5675.07
23091200,-6.21,75.44,5675.29
23142400,-5.97,75.48,5675.49
23193600,-5.98,73.94,5675.70
23244800,-6.25,76.22,5675.90
23296000,-5.78,73.36,5676.09
23347200,-5.46,72.25,5676.27
23398400,-5.63,72.61,5676.47
23449600,-5.68,73.23,5676.67
23500800,-5.83,73.74,5676.86
23552000,-6.16,77.18,5677.07
23603200,-5.88,75.07,5677.26
23654400,-5.71,72.77,5677.47
23705600,-5.78,74.66,5678.11
23756800,-5.78,73.90,5678.31
23808000,-6.04,76.84,5678.49
23859200,-5.70,74.37,5678.65
23910400,-5.66,73.14,5678.39
23961600,-5.48,73.29,5679.04
24012800,-5.51,73.77,5678.80
24064000,-5.81,75.95,5679.00
24115200,-5.67,73.89,5679.18
24166400,-5.72,75.38,5679.32
24217600,-5.70,74.03,5679.52
24268800,-5.67,74.46,5679.72
24320000,-5.58,74.44,5679.90
24371200,-5.73,74.30,5680.10
24422400,-5.65,72.77,5680.29
24473600,-5.68,73.97,5680.44
24524800,-5.75,72.96,5680.64
24576000,-5.54,74.28,5680.85
24627200,-5.87,76.02,5681.03
24678400,-5.18,72.95,5681.20
24729600,-5.61,72.78,5681.39
24780800,-5.92,75.23,5681.52
24832000,-5.62,73.69,5682.12
24883200,-5.71,74.20,5681.87
24934400,-5.79,75.19,5682.05
24985600,-5.63,75.07,5682.22
25036800,-5.46,73.60,5682.41
25088000,-5.57,74.82,5682.97
25139200,-5.60,73.90,5682.73
25190400,-5.65,74.01,5682.92
25241600,-5.35,73.65,5683.11
25292800,-5.65,75.73,5683.30
25344000,-5.45,73.68,5683.90
25395200,-5.44,74.50,5683.65
25446400,-5.72,74.27,5683.84
25497600,-5.57,73.37,5684.02
25548800,-5.63,75.28,5684.20
25600000,-5.81,75.10,5684.39
